target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,56862,0,1,0,21,40.620375777,15.391780822,0,0,9.7315068493,414
0,OTHER,elementary,Corporate,65473,0,0,,,32.772235946,4.3917808219,,,12.128767123,415
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,419
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,421
0,2NDFL,high,,31926,0,0,0,11.341845878,33.545205479,2.0849315068,2,2,3.7561643836,423
0,2NDFL,elementary,,83002,0,0,0,0.5377688172,37.384953964,5.4068717718,0,0,11.371255333,427
0,OTHER,advanced,Corporate,14199,0,1,0,6.7000448029,40.521940265,6.719200539,0,0,9.927419717,431
0,OTHER,elementary,Corporate,48092,0,1,,,43.665753425,1.2443296654,,,10.405479452,434
0,OTHER,elementary,Corporate,21108,0,1,1,1.3079749104,46.350250767,7.1584699454,0,0,1.2653192604,435
0,OTHER,elementary,Corporate,95960,0,1,1,0.7291218638,30.356164384,1.8630136986,0,0,9.0745265364,440
0,OTHER,elementary,,50000,0,0,,,30.216438356,0.5093569878,,,9.2552586271,443
0,OTHER,high,Corporate,46976,0,1,,,26.191346658,2.1283329591,,,6.1118946029,444
0,2NDFL,high,,39672,0,0,1,1.0867159498,38.381705217,13.362527135,0,0,5.039239464,449
0,OTHER,advanced,Corporate,22849,0,1,1,1.1833781362,33.725226439,4.8265963021,0,0,10.155363425,450
0,OTHER,elementary,Corporate,154782,0,1,1,0.5934363799,35.172685081,2.8850138483,,,9.1178905607,453
0,OTHER,elementary,Corporate,60243,0,1,,,25.10830152,0.8869900442,,,5.0263343065,455
